id,text,label
221,I hate you,1
222,You are worthless,1
223,This is the dumbest thing ever,1
224,Stop bothering me,1
225,You have no idea what you are doing,1
226,Nobody likes you,1
227,You are useless,1
228,Shut up,1
229,Go away,1
230,You are useless,1
231,Stop bothering me,1
232,Go away,1
233,I cannot stand you,1
234,Stop bothering me,1
235,I cannot stand you,1
236,You are stupid,1
237,You have no idea what you are doing,1
238,Shut up,1
239,You are a terrible person,1
240,You are stupid,1
241,You are an idiot,1
242,I cannot stand you,1
243,Shut up,1
244,I cannot stand you,1
245,You are worthless,1
246,Go away,1
247,I hate you,1
248,Nobody likes you,1
249,You are stupid,1
250,Nobody likes you,1
251,I cannot stand you,1
252,You have no idea what you are doing,1
253,You are an idiot,1
254,You are an idiot,1
255,You are so rude,1
256,You are a terrible person,1
257,You are worthless,1
258,You are an idiot,1
259,Go away,1
260,Stop bothering me,1
261,Go away,1
262,You are useless,1
263,You are useless,1
264,This is the dumbest thing ever,1
265,You are a terrible person,1
266,Stop bothering me,1
267,You are useless,1
268,I hate you,1
269,Stop bothering me,1
270,You are worthless,1
271,You have no idea what you are doing,1
272,You are completely annoying,1
273,Nobody likes you,1
274,I cannot stand you,1
275,Stop bothering me,1
276,Go away,1
277,You are so rude,1
278,You are so rude,1
279,Nobody likes you,1
280,You are so rude,1
281,I hate you,1
282,You are completely annoying,1
283,This is the dumbest thing ever,1
284,This is the dumbest thing ever,1
285,Shut up,1
286,You are a terrible person,1
287,I cannot stand you,1
288,Stop bothering me,1
289,You are a terrible person,1
290,You are an idiot,1
291,Nobody likes you,1
292,Nobody likes you,1
293,You are an idiot,1
294,Shut up,1
295,You are stupid,1
296,You have no idea what you are doing,1
297,Stop bothering me,1
298,Nobody likes you,1
299,You have no idea what you are doing,1
300,Nobody likes you,1
301,You are stupid,1
302,You are an idiot,1
303,You are so rude,1
304,This is the dumbest thing ever,1
305,You are stupid,1
306,Nobody likes you,1
307,You are an idiot,1
308,I cannot stand you,1
309,You are stupid,1
310,You are worthless,1
311,Shut up,1
312,You are an idiot,1
313,Stop bothering me,1
314,Nobody likes you,1
315,I hate you,1
316,This is the dumbest thing ever,1
317,You are a terrible person,1
318,Nobody likes you,1
319,Stop bothering me,1
320,You are useless,1
321,You are so rude,1
322,I cannot stand you,1
323,I cannot stand you,1
324,You have no idea what you are doing,1
325,You have no idea what you are doing,1
326,You are a terrible person,1
327,Nobody likes you,1
328,Go away,1
329,You are a terrible person,1
330,Go away,1
331,You are completely annoying,1
332,Nobody likes you,1
333,You are an idiot,1
334,You are an idiot,1
335,This is the dumbest thing ever,1
336,You are completely annoying,1
337,Shut up,1
338,You are completely annoying,1
339,You are completely annoying,1
340,You are a terrible person,1
341,You are worthless,1
342,You are so rude,1
343,You are stupid,1
344,This is the dumbest thing ever,1
345,This is the dumbest thing ever,1
346,This is the dumbest thing ever,1
347,You are an idiot,1
348,You are stupid,1
349,You are completely annoying,1
350,You are so rude,1
351,Shut up,1
352,Go away,1
353,You are worthless,1
354,You are an idiot,1
355,Nobody likes you,1
356,Nobody likes you,1
357,Nobody likes you,1
358,Stop bothering me,1
359,You are a terrible person,1
360,You are useless,1
361,You are completely annoying,1
362,You are useless,1
363,I hate you,1
364,You are a terrible person,1
365,Nobody likes you,1
366,You are worthless,1
367,I cannot stand you,1
368,You are an idiot,1
369,You are a terrible person,1
370,Go away,1
371,You are worthless,1
372,You are worthless,1
373,Stop bothering me,1
374,You are an idiot,1
375,You are stupid,1
376,This is the dumbest thing ever,1
377,Stop bothering me,1
378,You are worthless,1
379,You are stupid,1
380,You are an idiot,1
381,I cannot stand you,1
382,Go away,1
383,You are worthless,1
384,Nobody likes you,1
385,You are useless,1
386,You are completely annoying,1
387,You are a terrible person,1
388,You are a terrible person,1
389,Nobody likes you,1
390,You are worthless,1
391,You are completely annoying,1
392,I cannot stand you,1
393,You are stupid,1
394,You are useless,1
395,You are completely annoying,1
396,You are stupid,1
397,You are completely annoying,1
398,I hate you,1
399,I cannot stand you,1
400,Go away,1
401,Go away,1
402,You are a terrible person,1
403,I hate you,1
404,You are completely annoying,1
405,You are so rude,1
406,You are so rude,1
407,Go away,1
408,Stop bothering me,1
409,This is the dumbest thing ever,1
410,You are so rude,1
411,You are a terrible person,1
412,You are useless,1
413,Nobody likes you,1
414,I hate you,1
415,Nobody likes you,1
416,You are stupid,1
417,You have no idea what you are doing,1
418,You are so rude,1
419,Stop bothering me,1
420,You are stupid,1
421,You are so rude,1
422,Shut up,1
423,You are stupid,1
424,You are stupid,1
425,You have no idea what you are doing,1
426,You are a terrible person,1
427,Stop bothering me,1
428,I cannot stand you,1
429,You are worthless,1
430,Stop bothering me,1
431,You are useless,1
432,You are stupid,1
433,Stop bothering me,1
434,You are an idiot,1
435,You are worthless,1
436,You are useless,1
437,You are an idiot,1
438,You have no idea what you are doing,1
439,You are an idiot,1
440,This is the dumbest thing ever,1
441,You are worthless,1
442,Nobody likes you,1
443,You are completely annoying,1
444,You are an idiot,1
445,I cannot stand you,1
446,You have no idea what you are doing,1
447,Nobody likes you,1
448,You have no idea what you are doing,1
449,You have no idea what you are doing,1
450,You are stupid,1
451,You have no idea what you are doing,1
452,You are an idiot,1
453,You are completely annoying,1
454,This is the dumbest thing ever,1
455,You have no idea what you are doing,1
456,You have no idea what you are doing,1
457,Stop bothering me,1
458,Shut up,1
459,I cannot stand you,1
460,I hate you,1
461,Nobody likes you,1
462,This is the dumbest thing ever,1
463,You are so rude,1
464,Shut up,1
465,Nobody likes you,1
466,I hate you,1
467,You are completely annoying,1
468,You are useless,1
469,This is the dumbest thing ever,1
470,This is the dumbest thing ever,1
471,I hate you,1
472,You are a terrible person,1
473,Shut up,1
474,I cannot stand you,1
475,Go away,1
476,I cannot stand you,1
477,You are an idiot,1
478,You are stupid,1
479,You are a terrible person,1
480,You have no idea what you are doing,1
481,You have no idea what you are doing,1
482,You are an idiot,1
483,You are an idiot,1
484,Stop bothering me,1
485,Nobody likes you,1
486,Stop bothering me,1
487,I hate you,1
488,You are useless,1
489,I cannot stand you,1
490,Shut up,1
491,I cannot stand you,1
492,You are an idiot,1
493,I cannot stand you,1
494,Nobody likes you,1
495,Shut up,1
496,I hate you,1
497,You are useless,1
498,You are a terrible person,1
499,You are worthless,1
500,Stop bothering me,1
501,You are so rude,1
502,I hate you,1
503,You have no idea what you are doing,1
504,Go away,1
505,This is the dumbest thing ever,1
506,Stop bothering me,1
507,You are stupid,1
508,This is the dumbest thing ever,1
509,You are worthless,1
510,Stop bothering me,1
511,I hate you,1
512,I cannot stand you,1
513,This is the dumbest thing ever,1
514,You are an idiot,1
515,I cannot stand you,1
516,You are useless,1
517,I hate you,1
518,You are an idiot,1
519,I cannot stand you,1
520,You are an idiot,1
521,You are so rude,1
522,Stop bothering me,1
523,You are useless,1
524,I hate you,1
525,I hate you,1
526,You have no idea what you are doing,1
527,Nobody likes you,1
528,You are so rude,1
529,Shut up,1
530,Nobody likes you,1
531,This is the dumbest thing ever,1
532,This is the dumbest thing ever,1
533,You are worthless,1
534,I hate you,1
535,Stop bothering me,1
536,You are a terrible person,1
537,I hate you,1
538,I cannot stand you,1
539,I cannot stand you,1
540,You are worthless,1
541,You are stupid,1
542,You are an idiot,1
543,This is the dumbest thing ever,1
544,You are completely annoying,1
545,You are worthless,1
546,I hate you,1
547,You are stupid,1
548,You are stupid,1
549,Shut up,1
550,Go away,1
551,You are useless,1
552,This is the dumbest thing ever,1
553,I hate you,1
554,You are useless,1
555,You are so rude,1
556,You are a terrible person,1
557,Stop bothering me,1
558,You are so rude,1
559,You are completely annoying,1
560,Stop bothering me,1
561,You are stupid,1
562,You are an idiot,1
563,You are an idiot,1
564,I cannot stand you,1
565,You are so rude,1
566,I cannot stand you,1
567,You are useless,1
568,Stop bothering me,1
569,You are stupid,1
570,You are worthless,1
571,Shut up,1
572,You have no idea what you are doing,1
573,Stop bothering me,1
574,You are useless,1
575,You are completely annoying,1
576,You are useless,1
577,You are stupid,1
578,I hate you,1
579,Shut up,1
580,I cannot stand you,1
581,I cannot stand you,1
582,Go away,1
583,You are worthless,1
584,You are stupid,1
585,I cannot stand you,1
586,Shut up,1
587,Nobody likes you,1
588,This is the dumbest thing ever,1
589,Nobody likes you,1
590,This is the dumbest thing ever,1
591,You are an idiot,1
592,Shut up,1
593,Go away,1
594,Stop bothering me,1
595,I cannot stand you,1
596,You are worthless,1
597,You are completely annoying,1
598,You have no idea what you are doing,1
599,You are so rude,1
600,You are useless,1
601,Thank you for explaining this,0
602,Thank you for explaining this,0
603,Please send me the report,0
604,The class starts at ten AM,0
605,Can you help me with this project?,0
606,I agree with your suggestion,0
607,I agree with your suggestion,0
608,Can you help me with this project?,0
609,Thank you for explaining this,0
610,Your project looks good,0
611,Thank you for your help,0
612,Can you help me with this project?,0
613,Please share the notes,0
614,Thank you for explaining this,0
615,I appreciate your support,0
616,I agree with your suggestion,0
617,Thank you for explaining this,0
618,Your project looks good,0
619,I agree with your suggestion,0
620,Let us discuss the project,0
621,The class starts at ten AM,0
622,Please share the notes,0
623,I agree with your suggestion,0
624,Please send me the report,0
625,The meeting is scheduled for tomorrow,0
626,Can you help me with this project?,0
627,I agree with your suggestion,0
628,Please share the notes,0
629,Have a wonderful day,0
630,Your project looks good,0
631,The class starts at ten AM,0
632,Thank you for your help,0
633,The class starts at ten AM,0
634,Please review this document,0
635,Please send me the report,0
636,Please send me the report,0
637,The class starts at ten AM,0
638,Thank you for explaining this,0
639,Please review this document,0
640,I appreciate your support,0
641,The meeting is scheduled for tomorrow,0
642,The class starts at ten AM,0
643,I agree with your suggestion,0
644,The class starts at ten AM,0
645,Please send me the report,0
646,Please send me the report,0
647,Thank you for your help,0
648,Let us discuss the project,0
649,Please send me the report,0
650,Your project looks good,0
651,I appreciate your support,0
652,The meeting is scheduled for tomorrow,0
653,The class starts at ten AM,0
654,Have a wonderful day,0
655,I agree with your suggestion,0
656,The meeting is scheduled for tomorrow,0
657,I appreciate your support,0
658,Let us discuss the project,0
659,Can you explain this topic?,0
660,Your project looks good,0
661,Let us discuss the project,0
662,The class starts at ten AM,0
663,Can you explain this topic?,0
664,I appreciate your support,0
665,Thank you for your help,0
666,Have a wonderful day,0
667,Thank you for explaining this,0
668,The meeting is scheduled for tomorrow,0
669,Can you help me with this project?,0
670,The assignment deadline is Friday,0
671,The meeting is scheduled for tomorrow,0
672,Thank you for your help,0
673,Have a wonderful day,0
674,The assignment deadline is Friday,0
675,Your project looks good,0
676,I appreciate your support,0
677,Please share the notes,0
678,I agree with your suggestion,0
679,I appreciate your support,0
680,Your project looks good,0
681,The assignment deadline is Friday,0
682,Can you explain this topic?,0
683,Have a wonderful day,0
684,Your project looks good,0
685,Thank you for explaining this,0
686,The assignment deadline is Friday,0
687,Please send me the report,0
688,The meeting is scheduled for tomorrow,0
689,Thank you for your help,0
690,Please share the notes,0
691,Your project looks good,0
692,Thank you for your help,0
693,Can you explain this topic?,0
694,Thank you for explaining this,0
695,I agree with your suggestion,0
696,Can you explain this topic?,0
697,Let us discuss the project,0
698,Please share the notes,0
699,Please share the notes,0
700,Please share the notes,0
701,Let us discuss the project,0
702,Please send me the report,0
703,I appreciate your support,0
704,Your project looks good,0
705,Have a wonderful day,0
706,Let us discuss the project,0
707,Thank you for explaining this,0
708,I appreciate your support,0
709,The assignment deadline is Friday,0
710,I appreciate your support,0
711,Let us discuss the project,0
712,The class starts at ten AM,0
713,Have a wonderful day,0
714,Please share the notes,0
715,Thank you for explaining this,0
716,The meeting is scheduled for tomorrow,0
717,Can you explain this topic?,0
718,The meeting is scheduled for tomorrow,0
719,Let us discuss the project,0
720,Your project looks good,0
721,I appreciate your support,0
722,Your project looks good,0
723,Please share the notes,0
724,The meeting is scheduled for tomorrow,0
725,Can you explain this topic?,0
726,Can you help me with this project?,0
727,Please send me the report,0
728,Your project looks good,0
729,Let us discuss the project,0
730,Your project looks good,0
731,Let us discuss the project,0
732,Please share the notes,0
733,Thank you for explaining this,0
734,Can you help me with this project?,0
735,The assignment deadline is Friday,0
736,The assignment deadline is Friday,0
737,The meeting is scheduled for tomorrow,0
738,Your project looks good,0
739,Can you explain this topic?,0
740,The class starts at ten AM,0
741,Thank you for your help,0
742,The meeting is scheduled for tomorrow,0
743,The meeting is scheduled for tomorrow,0
744,Please send me the report,0
745,Your project looks good,0
746,I agree with your suggestion,0
747,The assignment deadline is Friday,0
748,The assignment deadline is Friday,0
749,Let us discuss the project,0
750,I appreciate your support,0
751,Please review this document,0
752,Please review this document,0
753,Please review this document,0
754,Let us discuss the project,0
755,Please send me the report,0
756,Can you explain this topic?,0
757,Please review this document,0
758,I agree with your suggestion,0
759,Thank you for explaining this,0
760,I agree with your suggestion,0
761,Please share the notes,0
762,Can you help me with this project?,0
763,Let us discuss the project,0
764,Have a wonderful day,0
765,The meeting is scheduled for tomorrow,0
766,Can you explain this topic?,0
767,Let us discuss the project,0
768,Let us discuss the project,0
769,The assignment deadline is Friday,0
770,I appreciate your support,0
771,Have a wonderful day,0
772,The class starts at ten AM,0
773,I agree with your suggestion,0
774,Please send me the report,0
775,Let us discuss the project,0
776,The meeting is scheduled for tomorrow,0
777,Please send me the report,0
778,I agree with your suggestion,0
779,Please send me the report,0
780,Can you help me with this project?,0
781,Thank you for your help,0
782,Thank you for your help,0
783,Please send me the report,0
784,Please review this document,0
785,The assignment deadline is Friday,0
786,The class starts at ten AM,0
787,I agree with your suggestion,0
788,Have a wonderful day,0
789,Please review this document,0
790,Your project looks good,0
791,Thank you for explaining this,0
792,Let us discuss the project,0
793,The assignment deadline is Friday,0
794,Please send me the report,0
795,Please share the notes,0
796,Please share the notes,0
797,Your project looks good,0
798,Please review this document,0
799,Your project looks good,0
800,Please send me the report,0
801,Can you help me with this project?,0
802,Let us discuss the project,0
803,Please share the notes,0
804,Thank you for your help,0
805,Thank you for explaining this,0
806,I agree with your suggestion,0
807,The class starts at ten AM,0
808,I agree with your suggestion,0
809,Thank you for explaining this,0
810,Have a wonderful day,0
811,I agree with your suggestion,0
812,Your project looks good,0
813,Please send me the report,0
814,Can you help me with this project?,0
815,I agree with your suggestion,0
816,Please share the notes,0
817,Can you explain this topic?,0
818,Please review this document,0
819,Thank you for your help,0
820,Can you explain this topic?,0
821,Please send me the report,0
822,Thank you for explaining this,0
823,The class starts at ten AM,0
824,Have a wonderful day,0
825,Please review this document,0
826,Can you help me with this project?,0
827,I agree with your suggestion,0
828,Please review this document,0
829,Let us discuss the project,0
830,Can you explain this topic?,0
831,Can you explain this topic?,0
832,The assignment deadline is Friday,0
833,I appreciate your support,0
834,I agree with your suggestion,0
835,Thank you for explaining this,0
836,Please review this document,0
837,The assignment deadline is Friday,0
838,The class starts at ten AM,0
839,Please share the notes,0
840,Thank you for explaining this,0
841,Can you explain this topic?,0
842,Your project looks good,0
843,The class starts at ten AM,0
844,Thank you for explaining this,0
845,Can you explain this topic?,0
846,Please review this document,0
847,Thank you for explaining this,0
848,Can you help me with this project?,0
849,Please share the notes,0
850,The class starts at ten AM,0
851,Please review this document,0
852,Please review this document,0
853,The meeting is scheduled for tomorrow,0
854,I agree with your suggestion,0
855,Please send me the report,0
856,The class starts at ten AM,0
857,Let us discuss the project,0
858,The meeting is scheduled for tomorrow,0
859,I agree with your suggestion,0
860,I agree with your suggestion,0
861,Can you explain this topic?,0
862,Please review this document,0
863,Let us discuss the project,0
864,Please send me the report,0
865,The meeting is scheduled for tomorrow,0
866,Please review this document,0
867,Have a wonderful day,0
868,Please share the notes,0
869,The meeting is scheduled for tomorrow,0
870,Please send me the report,0
871,The meeting is scheduled for tomorrow,0
872,I appreciate your support,0
873,I appreciate your support,0
874,Thank you for explaining this,0
875,Can you explain this topic?,0
876,Have a wonderful day,0
877,Can you help me with this project?,0
878,Can you help me with this project?,0
879,Please send me the report,0
880,Your project looks good,0
881,Please share the notes,0
882,Can you help me with this project?,0
883,Please share the notes,0
884,Please send me the report,0
885,Have a wonderful day,0
886,Your project looks good,0
887,Your project looks good,0
888,I appreciate your support,0
889,Can you explain this topic?,0
890,Please review this document,0
891,Your project looks good,0
892,Thank you for your help,0
893,Please send me the report,0
894,The class starts at ten AM,0
895,Your project looks good,0
896,Your project looks good,0
897,Thank you for explaining this,0
898,I agree with your suggestion,0
899,The assignment deadline is Friday,0
900,Please share the notes,0
901,Thank you for your help,0
902,The class starts at ten AM,0
903,Thank you for explaining this,0
904,I agree with your suggestion,0
905,The assignment deadline is Friday,0
906,Your project looks good,0
907,Please review this document,0
908,Thank you for your help,0
909,I appreciate your support,0
910,The meeting is scheduled for tomorrow,0
911,I agree with your suggestion,0
912,Your project looks good,0
913,The class starts at ten AM,0
914,Thank you for explaining this,0
915,The class starts at ten AM,0
916,Your project looks good,0
917,Can you explain this topic?,0
918,Please share the notes,0
919,Please share the notes,0
920,Can you explain this topic?,0
921,I agree with your suggestion,0
922,The assignment deadline is Friday,0
923,Thank you for explaining this,0
924,Please send me the report,0
925,Please review this document,0
926,Please send me the report,0
927,The meeting is scheduled for tomorrow,0
928,Your project looks good,0
929,Please review this document,0
930,Thank you for your help,0
931,Your project looks good,0
932,I appreciate your support,0
933,Let us discuss the project,0
934,Let us discuss the project,0
935,I agree with your suggestion,0
936,Your project looks good,0
937,Please share the notes,0
938,Can you help me with this project?,0
939,The class starts at ten AM,0
940,Please review this document,0
941,Thank you for explaining this,0
942,Can you help me with this project?,0
943,The assignment deadline is Friday,0
944,Can you explain this topic?,0
945,Thank you for your help,0
946,Thank you for explaining this,0
947,Your project looks good,0
948,The assignment deadline is Friday,0
949,The assignment deadline is Friday,0
950,Let us discuss the project,0
951,Thank you for your help,0
952,Have a wonderful day,0
953,Let us discuss the project,0
954,Your project looks good,0
955,Can you help me with this project?,0
956,The class starts at ten AM,0
957,Please review this document,0
958,Can you help me with this project?,0
959,Thank you for your help,0
960,The meeting is scheduled for tomorrow,0
961,Your project looks good,0
962,I appreciate your support,0
963,Please send me the report,0
964,Please review this document,0
965,I appreciate your support,0
966,I appreciate your support,0
967,I agree with your suggestion,0
968,Thank you for explaining this,0
969,Your project looks good,0
970,The meeting is scheduled for tomorrow,0
971,I agree with your suggestion,0
972,The class starts at ten AM,0
973,Your project looks good,0
974,The meeting is scheduled for tomorrow,0
975,The class starts at ten AM,0
976,Have a wonderful day,0
977,Please review this document,0
978,Thank you for your help,0
979,Please share the notes,0
980,Can you explain this topic?,0
981,Thank you for your help,0
982,I appreciate your support,0
983,Please send me the report,0
984,Let us discuss the project,0
985,Have a wonderful day,0
986,I agree with your suggestion,0
987,Let us discuss the project,0
988,Thank you for your help,0
989,I agree with your suggestion,0
990,Thank you for your help,0
991,Please send me the report,0
992,Please send me the report,0
993,The class starts at ten AM,0
994,Thank you for your help,0
995,The assignment deadline is Friday,0
996,Can you help me with this project?,0
997,Please send me the report,0
998,Can you help me with this project?,0
999,Please review this document,0
1000,Let us discuss the project,0
1001,Have a wonderful day,0
1002,The assignment deadline is Friday,0
1003,Please send me the report,0
1004,Please review this document,0
1005,Please share the notes,0
1006,The meeting is scheduled for tomorrow,0
1007,I agree with your suggestion,0
1008,I appreciate your support,0
1009,Can you help me with this project?,0
1010,The assignment deadline is Friday,0
1011,The assignment deadline is Friday,0
1012,Please share the notes,0
1013,Please share the notes,0
1014,Have a wonderful day,0
1015,I agree with your suggestion,0
1016,The class starts at ten AM,0
1017,Can you help me with this project?,0
1018,The meeting is scheduled for tomorrow,0
1019,Have a wonderful day,0
1020,The assignment deadline is Friday,0
1021,Thank you for your help,0
1022,Thank you for explaining this,0
1023,The meeting is scheduled for tomorrow,0
1024,The assignment deadline is Friday,0
1025,Let us discuss the project,0
1026,Thank you for explaining this,0
1027,Your project looks good,0
1028,Your project looks good,0
1029,Please share the notes,0
1030,Please send me the report,0
1031,Have a wonderful day,0
1032,The assignment deadline is Friday,0
1033,Please share the notes,0
1034,The class starts at ten AM,0
1035,Let us discuss the project,0
1036,Please send me the report,0
1037,Have a wonderful day,0
1038,Please share the notes,0
1039,I agree with your suggestion,0
1040,The meeting is scheduled for tomorrow,0
1041,The class starts at ten AM,0
1042,Let us discuss the project,0
1043,The assignment deadline is Friday,0
1044,I agree with your suggestion,0
1045,Have a wonderful day,0
1046,I agree with your suggestion,0
1047,The assignment deadline is Friday,0
1048,I agree with your suggestion,0
1049,Thank you for your help,0
1050,I appreciate your support,0
1051,Can you explain this topic?,0
1052,Your project looks good,0
1053,Let us discuss the project,0
1054,I appreciate your support,0
1055,Have a wonderful day,0
1056,Can you explain this topic?,0
1057,Let us discuss the project,0
1058,I appreciate your support,0
1059,Thank you for your help,0
1060,The class starts at ten AM,0
1061,Your project looks good,0
1062,The class starts at ten AM,0
1063,Please review this document,0
1064,Have a wonderful day,0
1065,Your project looks good,0
1066,I appreciate your support,0
1067,Let us discuss the project,0
1068,Thank you for explaining this,0
1069,The class starts at ten AM,0
1070,Please review this document,0
1071,Please share the notes,0
1072,Can you help me with this project?,0
1073,Your project looks good,0
1074,Can you help me with this project?,0
1075,Please share the notes,0
1076,Can you explain this topic?,0
1077,Let us discuss the project,0
1078,The meeting is scheduled for tomorrow,0
1079,The assignment deadline is Friday,0
1080,I agree with your suggestion,0
1081,Thank you for explaining this,0
1082,Can you explain this topic?,0
1083,I agree with your suggestion,0
1084,Please review this document,0
1085,Please review this document,0
1086,Your project looks good,0
1087,The class starts at ten AM,0
1088,Please share the notes,0
1089,The assignment deadline is Friday,0
1090,The meeting is scheduled for tomorrow,0
1091,I appreciate your support,0
1092,The class starts at ten AM,0
1093,Please send me the report,0
1094,The class starts at ten AM,0
1095,Thank you for explaining this,0
1096,Have a wonderful day,0
1097,The meeting is scheduled for tomorrow,0
1098,Thank you for explaining this,0
1099,Please review this document,0
1100,Please send me the report,0
1101,I agree with your suggestion,0
1102,Please review this document,0
1103,The assignment deadline is Friday,0
1104,The assignment deadline is Friday,0
1105,Let us discuss the project,0
1106,Your project looks good,0
1107,I appreciate your support,0
1108,Thank you for your help,0
1109,Please review this document,0
1110,The class starts at ten AM,0
1111,I appreciate your support,0
1112,Can you help me with this project?,0
1113,Please review this document,0
1114,Please send me the report,0
1115,I appreciate your support,0
1116,I agree with your suggestion,0
1117,The meeting is scheduled for tomorrow,0
1118,I appreciate your support,0
1119,The meeting is scheduled for tomorrow,0
1120,Thank you for explaining this,0
1121,The assignment deadline is Friday,0
1122,Please share the notes,0
1123,Thank you for explaining this,0
1124,The meeting is scheduled for tomorrow,0
1125,Can you explain this topic?,0
1126,Thank you for your help,0
1127,Can you explain this topic?,0
1128,Please send me the report,0
1129,Have a wonderful day,0
1130,Please send me the report,0
1131,Please share the notes,0
1132,Your project looks good,0
1133,Please review this document,0
1134,Can you explain this topic?,0
1135,I agree with your suggestion,0
1136,Please send me the report,0
1137,Please share the notes,0
1138,Please review this document,0
1139,Let us discuss the project,0
