id,text,threat,category
203,Your online account will be suspended unless verified.,1,phishing
204,Confirm your login credentials now.,1,phishing
205,Your account security check is pending.,1,phishing
206,Verify your account immediately using the provided link.,1,phishing
207,Urgent account verification is required.,1,phishing
208,Your account security check is pending.,1,phishing
209,Verify your account immediately using the provided link.,1,phishing
210,Your account security check is pending.,1,phishing
211,Your online account will be suspended unless verified.,1,phishing
212,Your account will be blocked. Verify your password immediately.,1,phishing
213,Urgent account verification is required.,1,phishing
214,Your bank account needs urgent verification.,1,phishing
215,Confirm your login credentials now.,1,phishing
216,Your bank account needs urgent verification.,1,phishing
217,Urgent account verification is required.,1,phishing
218,Verify your account immediately using the provided link.,1,phishing
219,Urgent account verification is required.,1,phishing
220,Urgent account verification is required.,1,phishing
221,Your online account will be suspended unless verified.,1,phishing
222,Click the link to verify your account.,1,phishing
223,Confirm your login credentials now.,1,phishing
224,Your account will be blocked. Verify your password immediately.,1,phishing
225,Your account will be blocked. Verify your password immediately.,1,phishing
226,Your account security check is pending.,1,phishing
227,Your account will be blocked. Verify your password immediately.,1,phishing
228,Confirm your login credentials now.,1,phishing
229,Your account security check is pending.,1,phishing
230,Your account security check is pending.,1,phishing
231,Verify your account immediately using the provided link.,1,phishing
232,Click the link to verify your account.,1,phishing
233,Your bank account needs urgent verification.,1,phishing
234,Verify your account immediately using the provided link.,1,phishing
235,Click the link to verify your account.,1,phishing
236,Click the link to verify your account.,1,phishing
237,Click the link to verify your account.,1,phishing
238,Urgent account verification is required.,1,phishing
239,Verify your account immediately using the provided link.,1,phishing
240,Your bank account needs urgent verification.,1,phishing
241,Your online account will be suspended unless verified.,1,phishing
242,Click the link to verify your account.,1,phishing
243,Your bank account needs urgent verification.,1,phishing
244,Your online account will be suspended unless verified.,1,phishing
245,Confirm your login credentials now.,1,phishing
246,Your online account will be suspended unless verified.,1,phishing
247,Confirm your login credentials now.,1,phishing
248,Your account will be blocked. Verify your password immediately.,1,phishing
249,Your online account will be suspended unless verified.,1,phishing
250,Confirm your login credentials now.,1,phishing
251,Claim your reward by clicking the link.,1,scam
252,You have won a lottery prize.,1,scam
253,Claim your unexpected bonus today.,1,scam
254,Pay a small fee to receive your prize.,1,scam
255,"Congratulations, you have won a free gift.",1,scam
256,You have been selected for a reward.,1,scam
257,"Congratulations, you have won a free gift.",1,scam
258,Claim your unexpected bonus today.,1,scam
259,"Congratulations, you have won a free gift.",1,scam
260,You are selected for a special cash reward.,1,scam
261,You have been selected for a reward.,1,scam
262,Claim your unexpected bonus today.,1,scam
263,You have won a lottery prize.,1,scam
264,You are selected for a special cash reward.,1,scam
265,You have been selected for a reward.,1,scam
266,Pay a small fee to receive your prize.,1,scam
267,"Congratulations, you have won a free gift.",1,scam
268,"Congratulations, you have won a free gift.",1,scam
269,"Congratulations, you won a prize.",1,scam
270,You have been selected for a reward.,1,scam
271,"Congratulations, you have won a free gift.",1,scam
272,"Congratulations, you won a prize.",1,scam
273,"Congratulations, you won a prize.",1,scam
274,Claim your unexpected bonus today.,1,scam
275,"Congratulations, you have won a free gift.",1,scam
276,You are selected for a special cash reward.,1,scam
277,Pay a small fee to receive your prize.,1,scam
278,You are selected for a special cash reward.,1,scam
279,You are selected for a special cash reward.,1,scam
280,"Congratulations, you have won a free gift.",1,scam
281,Claim your reward by clicking the link.,1,scam
282,You have won a lottery prize.,1,scam
283,"Congratulations, you won a prize.",1,scam
284,"Congratulations, you have won a free gift.",1,scam
285,Claim your unexpected bonus today.,1,scam
286,"Congratulations, you won a prize.",1,scam
287,Pay a small fee to receive your prize.,1,scam
288,Claim your reward by clicking the link.,1,scam
289,You have won a lottery prize.,1,scam
290,"Congratulations, you have won a free gift.",1,scam
291,Pay a small fee to receive your prize.,1,scam
292,You have been selected for a reward.,1,scam
293,Claim your reward by clicking the link.,1,scam
294,You are selected for a special cash reward.,1,scam
295,Claim your reward by clicking the link.,1,scam
296,Pay a small fee to receive your prize.,1,scam
297,"Congratulations, you have won a free gift.",1,scam
298,Claim your reward by clicking the link.,1,scam
299,"Congratulations, you have won a free gift.",1,scam
300,Claim your unexpected bonus today.,1,scam
301,"Congratulations, you have won a free gift.",1,scam
302,Pay a small fee to receive your prize.,1,scam
303,You have won a lottery prize.,1,scam
304,Claim your unexpected bonus today.,1,scam
305,You have won a lottery prize.,1,scam
306,Claim your reward by clicking the link.,1,scam
307,You are selected for a special cash reward.,1,scam
308,You have been selected for a reward.,1,scam
309,Pay a small fee to receive your prize.,1,scam
310,You have won a lottery prize.,1,scam
311,You have been selected for a reward.,1,scam
312,"Congratulations, you won a prize.",1,scam
313,"Congratulations, you have won a free gift.",1,scam
314,You have won a lottery prize.,1,scam
315,Claim your unexpected bonus today.,1,scam
316,Pay a small fee to receive your prize.,1,scam
317,"Congratulations, you have won a free gift.",1,scam
318,You have been selected for a reward.,1,scam
319,Pay a small fee to receive your prize.,1,scam
320,You have won a lottery prize.,1,scam
321,You are selected for a special cash reward.,1,scam
322,Claim your unexpected bonus today.,1,scam
323,"Congratulations, you won a prize.",1,scam
324,Pay a small fee to receive your prize.,1,scam
325,You are selected for a special cash reward.,1,scam
326,You have won a lottery prize.,1,scam
327,Claim your unexpected bonus today.,1,scam
328,"Congratulations, you have won a free gift.",1,scam
329,You have been selected for a reward.,1,scam
330,You have won a lottery prize.,1,scam
331,Claim your reward by clicking the link.,1,scam
332,"Congratulations, you won a prize.",1,scam
333,"Congratulations, you won a prize.",1,scam
334,"Congratulations, you have won a free gift.",1,scam
335,Claim your unexpected bonus today.,1,scam
336,You have won a lottery prize.,1,scam
337,You have won a lottery prize.,1,scam
338,You are selected for a special cash reward.,1,scam
339,Claim your reward by clicking the link.,1,scam
340,You have been selected for a reward.,1,scam
341,Claim your unexpected bonus today.,1,scam
342,Pay a small fee to receive your prize.,1,scam
343,You have been selected for a reward.,1,scam
344,Claim your reward by clicking the link.,1,scam
345,You have been selected for a reward.,1,scam
346,You have won a lottery prize.,1,scam
347,Claim your unexpected bonus today.,1,scam
348,You have been selected for a reward.,1,scam
349,"Congratulations, you have won a free gift.",1,scam
350,"Congratulations, you won a prize.",1,scam
351,Pay a small fee to receive your prize.,1,scam
352,You are selected for a special cash reward.,1,scam
353,Claim your unexpected bonus today.,1,scam
354,Claim your unexpected bonus today.,1,scam
355,You are selected for a special cash reward.,1,scam
356,Pay a small fee to receive your prize.,1,scam
357,You have won a lottery prize.,1,scam
358,Pay a small fee to receive your prize.,1,scam
359,Pay a small fee to receive your prize.,1,scam
360,"Congratulations, you won a prize.",1,scam
361,You have been selected for a reward.,1,scam
362,"Congratulations, you have won a free gift.",1,scam
363,You are selected for a special cash reward.,1,scam
364,You have won a lottery prize.,1,scam
365,Claim your unexpected bonus today.,1,scam
366,You have won a lottery prize.,1,scam
367,You are selected for a special cash reward.,1,scam
368,"Congratulations, you won a prize.",1,scam
369,"Congratulations, you won a prize.",1,scam
370,Pay a small fee to receive your prize.,1,scam
371,You are selected for a special cash reward.,1,scam
372,Claim your reward by clicking the link.,1,scam
373,You are selected for a special cash reward.,1,scam
374,You have won a lottery prize.,1,scam
375,You are selected for a special cash reward.,1,scam
376,You are selected for a special cash reward.,1,scam
377,You are selected for a special cash reward.,1,scam
378,Pay a small fee to receive your prize.,1,scam
379,Claim your reward by clicking the link.,1,scam
380,"Congratulations, you won a prize.",1,scam
381,"Congratulations, you have won a free gift.",1,scam
382,Claim your reward by clicking the link.,1,scam
383,Claim your reward by clicking the link.,1,scam
384,"Congratulations, you have won a free gift.",1,scam
385,Claim your reward by clicking the link.,1,scam
386,You have won a lottery prize.,1,scam
387,"Congratulations, you won a prize.",1,scam
388,Claim your reward by clicking the link.,1,scam
389,"Congratulations, you won a prize.",1,scam
390,Pay a small fee to receive your prize.,1,scam
391,You are selected for a special cash reward.,1,scam
392,Pay a small fee to receive your prize.,1,scam
393,"Congratulations, you won a prize.",1,scam
394,Claim your reward by clicking the link.,1,scam
395,"Congratulations, you have won a free gift.",1,scam
396,"Congratulations, you won a prize.",1,scam
397,Claim your reward by clicking the link.,1,scam
398,You have been selected for a reward.,1,scam
399,You have won a lottery prize.,1,scam
400,You have won a lottery prize.,1,scam
401,Claim your unexpected bonus today.,1,scam
402,Claim your unexpected bonus today.,1,scam
403,Pay a small fee to receive your prize.,1,scam
404,You have won a lottery prize.,1,scam
405,Claim your unexpected bonus today.,1,scam
406,You are selected for a special cash reward.,1,scam
407,"Congratulations, you won a prize.",1,scam
408,"Congratulations, you have won a free gift.",1,scam
409,Claim your unexpected bonus today.,1,scam
410,"Congratulations, you won a prize.",1,scam
411,"Congratulations, you won a prize.",1,scam
412,Claim your unexpected bonus today.,1,scam
413,You have been selected for a reward.,1,scam
414,You have been selected for a reward.,1,scam
415,You have won a lottery prize.,1,scam
416,Claim your unexpected bonus today.,1,scam
417,Claim your unexpected bonus today.,1,scam
418,You have won a lottery prize.,1,scam
419,You have won a lottery prize.,1,scam
420,Pay a small fee to receive your prize.,1,scam
421,Claim your reward by clicking the link.,1,scam
422,You have won a lottery prize.,1,scam
423,Claim your reward by clicking the link.,1,scam
424,"Congratulations, you have won a free gift.",1,scam
425,Pay a small fee to receive your prize.,1,scam
426,You have been selected for a reward.,1,scam
427,"Congratulations, you have won a free gift.",1,scam
428,Claim your unexpected bonus today.,1,scam
429,You have been selected for a reward.,1,scam
430,You have won a lottery prize.,1,scam
431,You have won a lottery prize.,1,scam
432,You are selected for a special cash reward.,1,scam
433,You have been selected for a reward.,1,scam
434,Claim your unexpected bonus today.,1,scam
435,You are selected for a special cash reward.,1,scam
436,You have been selected for a reward.,1,scam
437,Pay a small fee to receive your prize.,1,scam
438,Claim your unexpected bonus today.,1,scam
439,You have been selected for a reward.,1,scam
440,You have been selected for a reward.,1,scam
441,You have won a lottery prize.,1,scam
442,Pay a small fee to receive your prize.,1,scam
443,You have been selected for a reward.,1,scam
444,Pay a small fee to receive your prize.,1,scam
445,"Congratulations, you have won a free gift.",1,scam
446,Pay a small fee to receive your prize.,1,scam
447,Claim your reward by clicking the link.,1,scam
448,Claim your unexpected bonus today.,1,scam
449,You have won a lottery prize.,1,scam
450,You have won a lottery prize.,1,scam
451,You have won a lottery prize.,1,scam
452,You have won a lottery prize.,1,scam
453,You have been selected for a reward.,1,scam
454,You have won a lottery prize.,1,scam
455,Pay a small fee to receive your prize.,1,scam
456,Claim your reward by clicking the link.,1,scam
457,"Congratulations, you won a prize.",1,scam
458,Pay a small fee to receive your prize.,1,scam
459,You have won a lottery prize.,1,scam
460,You have been selected for a reward.,1,scam
461,Pay a small fee to receive your prize.,1,scam
462,You have been selected for a reward.,1,scam
463,"Congratulations, you won a prize.",1,scam
464,"Congratulations, you have won a free gift.",1,scam
465,"Congratulations, you have won a free gift.",1,scam
466,Pay a small fee to receive your prize.,1,scam
467,You have won a lottery prize.,1,scam
468,You are selected for a special cash reward.,1,scam
469,Claim your reward by clicking the link.,1,scam
470,Claim your unexpected bonus today.,1,scam
471,You are selected for a special cash reward.,1,scam
472,You have won a lottery prize.,1,scam
473,Pay a small fee to receive your prize.,1,scam
474,Pay a small fee to receive your prize.,1,scam
475,You have won a lottery prize.,1,scam
476,"Congratulations, you have won a free gift.",1,scam
477,You are selected for a special cash reward.,1,scam
478,You have been selected for a reward.,1,scam
479,"Congratulations, you won a prize.",1,scam
480,"Congratulations, you have won a free gift.",1,scam
481,"Congratulations, you won a prize.",1,scam
482,Claim your reward by clicking the link.,1,scam
483,"Congratulations, you have won a free gift.",1,scam
484,"Congratulations, you have won a free gift.",1,scam
485,Pay a small fee to receive your prize.,1,scam
486,Pay a small fee to receive your prize.,1,scam
487,"Congratulations, you won a prize.",1,scam
488,Claim your reward by clicking the link.,1,scam
489,Claim your reward by clicking the link.,1,scam
490,You have been selected for a reward.,1,scam
491,You have won a lottery prize.,1,scam
492,Claim your reward by clicking the link.,1,scam
493,"Congratulations, you won a prize.",1,scam
494,You have won a lottery prize.,1,scam
495,You are selected for a special cash reward.,1,scam
496,You have been selected for a reward.,1,scam
497,You have been selected for a reward.,1,scam
498,Claim your unexpected bonus today.,1,scam
499,Pay a small fee to receive your prize.,1,scam
500,Claim your reward by clicking the link.,1,scam
501,Tell me your account password.,1,credential_theft
502,Provide your OTP to complete verification.,1,credential_theft
503,Tell me your account password.,1,credential_theft
504,Please provide your password for verification.,1,credential_theft
505,Send me your OTP to confirm the transaction.,1,credential_theft
506,Share your login credentials immediately.,1,credential_theft
507,Share your login credentials immediately.,1,credential_theft
508,Send me your OTP to confirm the transaction.,1,credential_theft
509,Please provide your password for verification.,1,credential_theft
510,Provide your OTP to complete verification.,1,credential_theft
511,Give me your login details for verification.,1,credential_theft
512,Share your security code now.,1,credential_theft
513,Give me your login details for verification.,1,credential_theft
514,Give me your login details for verification.,1,credential_theft
515,Share your security code now.,1,credential_theft
516,Provide your OTP to complete verification.,1,credential_theft
517,Send the authentication code to confirm your account.,1,credential_theft
518,Please provide your password for verification.,1,credential_theft
519,Tell me your account password.,1,credential_theft
520,Share your security code now.,1,credential_theft
521,Please provide your password for verification.,1,credential_theft
522,Provide your OTP to complete verification.,1,credential_theft
523,Give me your login details for verification.,1,credential_theft
524,Provide your OTP to complete verification.,1,credential_theft
525,Send me your OTP to confirm the transaction.,1,credential_theft
526,Send the authentication code to confirm your account.,1,credential_theft
527,Share your security code now.,1,credential_theft
528,Send me your OTP to confirm the transaction.,1,credential_theft
529,Send me your OTP to confirm the transaction.,1,credential_theft
530,Send the authentication code to confirm your account.,1,credential_theft
531,Provide your OTP to complete verification.,1,credential_theft
532,Send the authentication code to confirm your account.,1,credential_theft
533,Share your login credentials immediately.,1,credential_theft
534,Provide your OTP to complete verification.,1,credential_theft
535,Provide your OTP to complete verification.,1,credential_theft
536,Tell me your account password.,1,credential_theft
537,Please provide your password for verification.,1,credential_theft
538,Send me your OTP to confirm the transaction.,1,credential_theft
539,Give me your login details for verification.,1,credential_theft
540,Share your security code now.,1,credential_theft
541,Share your login credentials immediately.,1,credential_theft
542,Share your login credentials immediately.,1,credential_theft
543,Share your security code now.,1,credential_theft
544,Send the authentication code to confirm your account.,1,credential_theft
545,Tell me your account password.,1,credential_theft
546,Please provide your password for verification.,1,credential_theft
547,Share your security code now.,1,credential_theft
548,Send me your OTP to confirm the transaction.,1,credential_theft
549,Share your security code now.,1,credential_theft
550,Send me your OTP to confirm the transaction.,1,credential_theft
551,Give me your login details for verification.,1,credential_theft
552,Please provide your password for verification.,1,credential_theft
553,Tell me your account password.,1,credential_theft
554,Share your security code now.,1,credential_theft
555,Share your security code now.,1,credential_theft
556,Share your security code now.,1,credential_theft
557,Provide your OTP to complete verification.,1,credential_theft
558,Please provide your password for verification.,1,credential_theft
559,Share your security code now.,1,credential_theft
560,Send me your OTP to confirm the transaction.,1,credential_theft
561,Tell me your account password.,1,credential_theft
562,Share your login credentials immediately.,1,credential_theft
563,Give me your login details for verification.,1,credential_theft
564,Tell me your account password.,1,credential_theft
565,Please provide your password for verification.,1,credential_theft
566,Share your security code now.,1,credential_theft
567,Please provide your password for verification.,1,credential_theft
568,Send the authentication code to confirm your account.,1,credential_theft
569,Share your security code now.,1,credential_theft
570,Share your security code now.,1,credential_theft
571,Please provide your password for verification.,1,credential_theft
572,Share your security code now.,1,credential_theft
573,Provide your OTP to complete verification.,1,credential_theft
574,Tell me your account password.,1,credential_theft
575,Send the authentication code to confirm your account.,1,credential_theft
576,Tell me your account password.,1,credential_theft
577,Share your login credentials immediately.,1,credential_theft
578,Please provide your password for verification.,1,credential_theft
579,Please provide your password for verification.,1,credential_theft
580,Send the authentication code to confirm your account.,1,credential_theft
581,Tell me your account password.,1,credential_theft
582,Tell me your account password.,1,credential_theft
583,Share your login credentials immediately.,1,credential_theft
584,Send the authentication code to confirm your account.,1,credential_theft
585,Please provide your password for verification.,1,credential_theft
586,Share your login credentials immediately.,1,credential_theft
587,Provide your OTP to complete verification.,1,credential_theft
588,Send the authentication code to confirm your account.,1,credential_theft
589,Share your login credentials immediately.,1,credential_theft
590,Share your login credentials immediately.,1,credential_theft
591,Please provide your password for verification.,1,credential_theft
592,Share your login credentials immediately.,1,credential_theft
593,Give me your login details for verification.,1,credential_theft
594,Give me your login details for verification.,1,credential_theft
595,Give me your login details for verification.,1,credential_theft
596,Tell me your account password.,1,credential_theft
597,Tell me your account password.,1,credential_theft
598,Share your login credentials immediately.,1,credential_theft
599,Give me your login details for verification.,1,credential_theft
600,Please provide your password for verification.,1,credential_theft
601,Give me your login details for verification.,1,credential_theft
602,Give me your login details for verification.,1,credential_theft
603,Provide your OTP to complete verification.,1,credential_theft
604,Provide your OTP to complete verification.,1,credential_theft
605,Send me your OTP to confirm the transaction.,1,credential_theft
606,Tell me your account password.,1,credential_theft
607,Please provide your password for verification.,1,credential_theft
608,Provide your OTP to complete verification.,1,credential_theft
609,Give me your login details for verification.,1,credential_theft
610,Give me your login details for verification.,1,credential_theft
611,Send me your OTP to confirm the transaction.,1,credential_theft
612,Send me your OTP to confirm the transaction.,1,credential_theft
613,Tell me your account password.,1,credential_theft
614,Provide your OTP to complete verification.,1,credential_theft
615,Please provide your password for verification.,1,credential_theft
616,Please provide your password for verification.,1,credential_theft
617,Share your security code now.,1,credential_theft
618,Give me your login details for verification.,1,credential_theft
619,Send me your OTP to confirm the transaction.,1,credential_theft
620,Give me your login details for verification.,1,credential_theft
621,Send the authentication code to confirm your account.,1,credential_theft
622,Tell me your account password.,1,credential_theft
623,Give me your login details for verification.,1,credential_theft
624,Share your login credentials immediately.,1,credential_theft
625,Send me your OTP to confirm the transaction.,1,credential_theft
626,Give me your login details for verification.,1,credential_theft
627,Please provide your password for verification.,1,credential_theft
628,Tell me your account password.,1,credential_theft
629,Please provide your password for verification.,1,credential_theft
630,Share your login credentials immediately.,1,credential_theft
631,Send me your OTP to confirm the transaction.,1,credential_theft
632,Send the authentication code to confirm your account.,1,credential_theft
633,Give me your login details for verification.,1,credential_theft
634,Give me your login details for verification.,1,credential_theft
635,Share your login credentials immediately.,1,credential_theft
636,Tell me your account password.,1,credential_theft
637,Tell me your account password.,1,credential_theft
638,Provide your OTP to complete verification.,1,credential_theft
639,Share your security code now.,1,credential_theft
640,Share your security code now.,1,credential_theft
641,Tell me your account password.,1,credential_theft
642,Send me your OTP to confirm the transaction.,1,credential_theft
643,Tell me your account password.,1,credential_theft
644,Please provide your password for verification.,1,credential_theft
645,Tell me your account password.,1,credential_theft
646,Please provide your password for verification.,1,credential_theft
647,Share your security code now.,1,credential_theft
648,Provide your OTP to complete verification.,1,credential_theft
649,Provide your OTP to complete verification.,1,credential_theft
650,Share your login credentials immediately.,1,credential_theft
651,Tell me your account password.,1,credential_theft
652,Please provide your password for verification.,1,credential_theft
653,Share your login credentials immediately.,1,credential_theft
654,Tell me your account password.,1,credential_theft
655,Provide your OTP to complete verification.,1,credential_theft
656,Share your security code now.,1,credential_theft
657,Share your login credentials immediately.,1,credential_theft
658,Please provide your password for verification.,1,credential_theft
659,Provide your OTP to complete verification.,1,credential_theft
660,Share your security code now.,1,credential_theft
661,Tell me your account password.,1,credential_theft
